"

",#1381,"31-10-2014, 22:21"
"


1 ocak'tan bu yana alanlar.
				",#1382,"31-10-2014, 22:23"
"

satanlar.

alıcı ile satıcı arasında çok fark var.
sebebini bilmiyorum.
				",#1383,"31-10-2014, 22:31"
"

",#1384,"31-10-2014, 22:32"
"

",#1385,"31-10-2014, 22:33"
"

",#1386,"31-10-2014, 22:34"
"

",#1387,"31-10-2014, 22:36"
"
http://www.kap.gov.tr/bildirim-sorgu...-2&secimler=#0

tüm bildirimler.
				",#1388,"31-10-2014, 22:37"
"
					Ne demişler; Merkebini sağlam kazığa bağla,bırak yel götürsün.Açıkçası ben Do&Co da eski sayılmam 117 maliyetle attım torunlara emma velakin kaymağın kokusunu 1 kilometreden alırım bu sütten daha çok kaymak çıkar lakin sabredene,3 haftalık travmatik günleri geride bıraktığımızı umut ederek tüm agabeylerime ve kardeşlerime saygı ve sevgilerimi sunarım...
				",#1389,"31-10-2014, 23:46"
"
					sadece takip ettiğim bir hisse, kapanış seviyesinden dönmezde 
düşüş sürerse teknik olarak en fazla 56$ (2,20=123) bekliyorum.
syg.ytd.
				",#1390,2014-11-01 01:16
"
					Do&Co 154.5 lü seviyelerden yaklaşık 3 haftalık bir düşüş trendinden 132 lere kadar gerilemiş ve en son cuma günü 136 ile kapanışını yapmış bulunmakta.Ben bu kapanışın artık düşüş trendinin sonu olabileceğini ve tekrar eski zirvasine zorlanmadan çıkacağını tahmin ediyorum.İş yatırımında hedef fiat olarak 180 li rakamları ön görmesi benim tahminimi destekler vaziyette olacağı umut ediyorum...

yatırım tavsiyesi değildir
				",#1391,2014-11-01 22:23
"





 Originally Posted by kagan_44


Do&Co 154.5 lü seviyelerden yaklaşık 3 haftalık bir düşüş trendinden 132 lere kadar gerilemiş ve en son cuma günü 136 ile kapanışını yapmış bulunmakta.Ben bu kapanışın artık düşüş trendinin sonu olabileceğini ve tekrar eski zirvasine zorlanmadan çıkacağını tahmin ediyorum.İş yatırımında hedef fiat olarak 180 li rakamları ön görmesi benim tahminimi destekler vaziyette olacağı umut ediyorum...

yatırım tavsiyesi değildir


TL yerine Euro üzerinden hedef fiyat belirlemek bence daha doğru bir yaklaşım olur düşüncesindeyim.
				",#1392,2014-11-01 22:52
